0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,0.692814
0--2,0.699333
1--2,0.423789
1--3,0.38238
2--3,0.670773
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,0.692814
0--2,0.699333
1--2,0.423789
1--3,0.38238
2--3,0.670773
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,0.692814
0--2,0.699333
1--2,0.423789
1--3,0.38238
2--3,0.670773
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,0.692814
0--2,0.699333
1--2,0.423789
1--3,0.38238
2--3,0.670773
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,0.692814
0--2,0.699333
1--2,0.423789
1--3,0.38238
2--3,0.670773
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,0.692814
0--2,0.699333
1--2,0.423789
1--3,0.38238
2--3,0.670773
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,0.692814
0--2,0.699333
1--2,0.423789
1--3,0.38238
2--3,0.670773
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,0.692814
0--2,0.699333
1--2,0.423789
1--3,0.38238
2--3,0.670773
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.17497
1--2,1.21311
2--3,0.666807
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,0.692814
0--2,0.699333
1--2,0.423789
1--3,0.38238
2--3,0.670773
0--1,1.4152
0--1,1.13793
1--2,1.18334
2--3,1.40047
0--1,0.692814
0--2,0.699333
1--2,0.423789
1--3,0.38238
2--3,0.670773
0--1,1.4152
0--1,1.4152
0--1,1.4152
0--1,1.4152
0--1,1.4152
0--1,1.4152
0--1,1.4152
0--1,1.4152
0--1,1.4152
0--1,1.16458
0--1,1.13513
0--1,1.31326
0--1,1.40632
0--1,1.55326
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
0--1,1.16458
