0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,0.904942
0--2,0.899351
1--2,1.12176
1--3,1.15013
2--3,0.923822
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,0.904942
0--2,0.899351
1--2,1.12176
1--3,1.15013
2--3,0.923822
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,0.904942
0--2,0.899351
1--2,1.12176
1--3,1.15013
2--3,0.923822
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,0.904942
0--2,0.899351
1--2,1.12176
1--3,1.15013
2--3,0.923822
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,0.904942
0--2,0.899351
1--2,1.12176
1--3,1.15013
2--3,0.923822
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,0.904942
0--2,0.899351
1--2,1.12176
1--3,1.15013
2--3,0.923822
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,0.904942
0--2,0.899351
1--2,1.12176
1--3,1.15013
2--3,0.923822
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,0.904942
0--2,0.899351
1--2,1.12176
1--3,1.15013
2--3,0.923822
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,0.877424
1--2,0.855532
2--3,1.26704
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,0.904942
0--2,0.899351
1--2,1.12176
1--3,1.15013
2--3,0.923822
0--1,1
0--1,1.05355
1--2,1.02615
2--3,0.920298
0--1,0.904942
0--2,0.899351
1--2,1.12176
1--3,1.15013
2--3,0.923822
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
0--1,1
